id,polarization
arb_67be47e5216d7bee41e17484e619f4e6,1
arb_272322e5b265e177613d685e5619e402,0
arb_d1ec38dd0ec5d7a4fe28ef8317fc96c1,1
arb_fad75310b17c124d98ebc514189ec033,1
arb_95caf70cec5bf00c94c35cf7af2a0ab5,1
arb_ac108c1ecf5071892c61abd253847b15,1
arb_adaaa6d482119e65ce337ee224674e70,1
arb_2794b08cac6cc9394a68c51cfc436243,1
arb_19dd96c989323c9e950a2c3ab9c285be,1
arb_f2bd638d9d9fc7a617130ff2b198b562,0
arb_f992bf7776b854d4f7f8475aebf80f49,1
arb_0b5ac70e86926f5e84cad94028864a37,0
arb_8ababf95f952e2425c2df1033192dac0,1
arb_06cd19aac6cc52e394a22d7d1dd58efc,0
arb_12eeeb8d2fa2d04be2ed9830d5f36ce9,0
arb_5bc23bacf9a161cd0f99719c70681a81,1
